序号,阵营,公会报告,报告序号,地区,开始时间,结束时间,战斗开始时间,战斗结束时间,报告编码,战斗编号,玩家全局编号,玩家编号,是否击杀,服务器,角色名,压制次数,燃烧次数,耐力,护甲,敏捷,躲闪等级,死亡序号,死亡时间,原始承伤,实际承伤,原始平砍次数,未中平砍次数,最高护甲,物品等级,战斗地址
26,部落,是,13,Korea,1658662349991,1658674733750,3122679,3428121,w1gLcYkmdBKpWHFT,27,23200483,13,是,로크홀라,곰탕흐미,1,0,1721,27253,827,56,0,0,2349122,607083,235,85,46689,138,https://cn.classic.warcraftlogs.com/reports/w1gLcYkmdBKpWHFT/#fight=27&type=summary&source=13
27,部落,是,14,China,1658662828802,1658678624991,5248856,5557371,c3h7mtD2NpJkMfXF,16,71441440,3,是,骨火,睿智萌弟,2,0,1662,37609,561,91,0,0,2619601,653562,238,79,46457,138,https://cn.classic.warcraftlogs.com/reports/c3h7mtD2NpJkMfXF/#fight=16&type=summary&source=3
28,部落,是,14,China,1658662828802,1658678624991,5248856,5557371,c3h7mtD2NpJkMfXF,16,15426054,30,是,骨火,大秦帝國,1,0,1163,7579,693,95,2,262811,1824395,485874,183,69,40717,140,https://cn.classic.warcraftlogs.com/reports/c3h7mtD2NpJkMfXF/#fight=16&type=summary&source=30
29,部落,是,14,China,1658662828802,1658678624991,3306046,3406781,c3h7mtD2NpJkMfXF,10,71441440,3,否,骨火,睿智萌弟,0,0,1662,35309,661,91,4,60546,1036530,259146,83,26,46707,138,https://cn.classic.warcraftlogs.com/reports/c3h7mtD2NpJkMfXF/#fight=10&type=summary&source=3
30,部落,是,14,China,1658662828802,1658678624991,4824194,4995046,c3h7mtD2NpJkMfXF,15,71441440,3,否,骨火,睿智萌弟,0,0,1662,37609,561,91,4,145145,1399121,347625,120,37,46707,138,https://cn.classic.warcraftlogs.com/reports/c3h7mtD2NpJkMfXF/#fight=15&type=summary&source=3
31,部落,是,14,China,1658662828802,1658678624991,3699980,3872314,c3h7mtD2NpJkMfXF,11,71441440,3,否,骨火,睿智萌弟,0,0,1662,37609,561,91,1,93893,1353577,339414,107,28,46457,138,https://cn.classic.warcraftlogs.com/reports/c3h7mtD2NpJkMfXF/#fight=11&type=summary&source=3
32,部落,是,14,China,1658662828802,1658678624991,3699980,3872314,c3h7mtD2NpJkMfXF,11,15426054,30,否,骨火,大秦帝國,0,0,1163,7379,593,95,4,131104,819651,227684,88,38,40467,140,https://cn.classic.warcraftlogs.com/reports/c3h7mtD2NpJkMfXF/#fight=11&type=summary&source=30
33,部落,是,14,China,1658662828802,1658678624991,4205984,4440967,c3h7mtD2NpJkMfXF,14,71441440,3,否,骨火,睿智萌弟,0,0,1662,37609,561,91,2,128559,1058776,267557,88,24,46521,138,https://cn.classic.warcraftlogs.com/reports/c3h7mtD2NpJkMfXF/#fight=14&type=summary&source=3
34,部落,是,14,China,1658662828802,1658678624991,4205984,4440967,c3h7mtD2NpJkMfXF,14,15426054,30,否,骨火,大秦帝國,0,0,1163,7579,693,95,3,190249,1282799,329822,130,54,40717,140,https://cn.classic.warcraftlogs.com/reports/c3h7mtD2NpJkMfXF/#fight=14&type=summary&source=30
35,部落,是,15,China,1658662541413,1658674475529,1846911,2071045,wzG13CxpkgW4namj,19,38609457,40,否,维克洛尔,小喵子,0,0,1677,28272,764,71,3,155133,1025105,259861,134,75,41062,145,https://cn.classic.warcraftlogs.com/reports/wzG13CxpkgW4namj/#fight=19&type=summary&source=40
36,部落,是,15,China,1658662541413,1658674475529,4096040,4342447,wzG13CxpkgW4namj,24,69634220,10,是,维克洛尔,且莫慌,0,0,1643,35981,677,53,0,0,2001903,517490,211,97,43071,140,https://cn.classic.warcraftlogs.com/reports/wzG13CxpkgW4namj/#fight=24&type=summary&source=10
